time_iso8601,forks_cumulative
2022-03-16 00:00:00+00:00,1
2022-03-22 00:00:00+00:00,2
2022-03-24 00:00:00+00:00,3
2022-03-25 00:00:00+00:00,4
2022-03-31 00:00:00+00:00,5
2022-05-01 00:00:00+00:00,6
2022-05-06 00:00:00+00:00,7
2022-05-20 00:00:00+00:00,8
2022-05-21 00:00:00+00:00,9
2022-05-24 00:00:00+00:00,10
2022-06-15 00:00:00+00:00,11
2022-06-16 00:00:00+00:00,12
2022-06-17 00:00:00+00:00,13
2022-06-29 00:00:00+00:00,14
2022-07-15 00:00:00+00:00,15
2022-07-16 00:00:00+00:00,16
2022-07-23 00:00:00+00:00,17
2022-08-02 00:00:00+00:00,18
2022-09-08 00:00:00+00:00,19
2022-10-25 00:00:00+00:00,20
2022-11-23 00:00:00+00:00,21
2022-11-27 00:00:00+00:00,22
2022-12-06 00:00:00+00:00,23
2023-03-02 00:00:00+00:00,24
2023-07-03 00:00:00+00:00,25
2023-07-13 00:00:00+00:00,26
2023-07-20 00:00:00+00:00,27
2023-08-29 00:00:00+00:00,28
2023-10-24 00:00:00+00:00,29
2024-02-05 00:00:00+00:00,30
2024-02-08 00:00:00+00:00,31
2024-05-31 00:00:00+00:00,33
2024-06-10 00:00:00+00:00,34
