url_path,views_total,views_unique
/open-feature/spec,190,148
/open-feature/spec/commit/cd99c3560a68c1810971be19b87ea803fb9b0b3a,40,14
/open-feature/spec/tree/main/specification,28,19
/open-feature/spec/pulls,18,11
/open-feature/spec/issues/276,18,8
/open-feature/spec/blob/main/specification/sections/02-providers.md,13,9
/open-feature/spec/issues,11,9
/open-feature/spec/blob/main/specification/glossary.md,11,8
/open-feature/spec/blob/main/specification/appendix-a-included-utilities.md,9,8
/open-feature/spec/blob/main/specification/sections/03-evaluation-context.md,9,6
