time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-03-11 00:00:00+00:00,129,33,38,19
2025-03-12 00:00:00+00:00,890,74,38,22
2025-03-13 00:00:00+00:00,191,37,31,16
2025-03-14 00:00:00+00:00,514,49,26,14
2025-03-15 00:00:00+00:00,106,41,14,10
2025-03-16 00:00:00+00:00,76,55,33,9
2025-03-17 00:00:00+00:00,336,94,39,20
2025-03-18 00:00:00+00:00,618,92,31,20
2025-03-19 00:00:00+00:00,446,59,21,15
2025-03-20 00:00:00+00:00,556,51,62,23
2025-03-21 00:00:00+00:00,353,49,62,21
2025-03-22 00:00:00+00:00,50,34,3,3
2025-03-23 00:00:00+00:00,11,11,16,10
2025-03-24 00:00:00+00:00,227,55,51,20
